time,wave_elevation
136.8,-0.0533892
136.9,-0.18791
137.0,-0.301341
137.1,-0.398618
137.2,-0.485472
137.3,-0.567596
137.4,-0.650001
137.5,-0.736298
137.6,-0.828359
137.7,-0.926077
137.8,-1.02746
137.9,-1.12895
138.0,-1.22603
138.1,-1.31391
138.2,-1.38835
138.3,-1.44637
138.4,-1.48678
138.5,-1.51065
138.6,-1.52122
138.7,-1.52376
138.8,-1.52488
138.9,-1.53173
139.0,-1.55106
139.1,-1.58824
139.2,-1.64636
139.3,-1.72556
139.4,-1.82278
139.5,-1.93178
139.6,-2.04364
139.7,-2.14749
139.8,-2.23158
139.9,-2.28446
140.0,-2.29611
140.1,-2.25898
140.2,-2.16868
140.3,-2.02433
140.4,-1.82869
140.5,-1.58762
140.6,-1.30957
140.7,-1.00465
140.8,-0.683752
140.9,-0.357758
141.0,-0.0366616
141.1,0.270776
141.2,0.557356
141.3,0.817379
141.4,1.04644
141.5,1.24128
141.6,1.3994
141.7,1.51886
141.8,1.59826
141.9,1.63675
142.0,1.63442
142.1,1.59247
142.2,1.51373
142.3,1.40277
142.4,1.26614
142.5,1.11207
142.6,0.950141
142.7,0.790483
142.8,0.642896
142.9,0.515869
143.0,0.415598
143.1,0.345208
143.2,0.304313
143.3,0.289018
143.4,0.292292
143.5,0.304828
143.6,0.316235
143.7,0.316402
143.8,0.296912
143.9,0.252198
144.0,0.180434
144.1,0.0839044
144.2,-0.0312148
144.3,-0.155468
144.4,-0.277392
144.5,-0.384881
144.6,-0.466828
144.7,-0.514453
144.8,-0.522551
144.9,-0.490006
145.0,-0.42001
145.1,-0.319442
145.2,-0.197954
145.3,-0.0665558
145.4,0.0638432
145.5,0.184015
145.6,0.287491
145.7,0.371455
145.8,0.436854
145.9,0.488085
146.0,0.532169
146.1,0.577395
146.2,0.631932
146.3,0.70235
146.4,0.79238
146.5,0.902169
